
----------------------------------------------------------------------------------------------------
Arguments :- 
input : D
resampling : under_sampling
classifier : RF
samplingType : leastConfidence
testsize : 0.2
manualAnnotationsCount : 100
maxIterations : 2
comments : Typo3-RF_LC-12-12

----------------------------------------------------------------------------------------------------

Analysis of  Label Classification  : 
#Ind,#LM Ind,#LM Rela,#LM Testing,#LM Training,#Rela,CV,ConfusionM,Iteration,LM CV,LM ConfusionM,LM RelaF1,LM RelaPre,LM RelaRcl,LM RelaSup,LM f1,LM indF1,LM indPre,LM indRcl,LM indSup,LM prec,LM rcl,RelaF1,RelaPre,RelaRcl,RelaSup,Testing,Total data,Training,f1,indF1,indPrec,indRcl,indSup,prec,rcl
199.0,199.0,199.0,2262.0,398.0,199.0,"[0.5        0.575      0.5        0.56962025 0.55696203 0.5
 0.475      0.6        0.51898734 0.60759494 0.5875     0.5125
 0.5375     0.53164557 0.55696203]","[[401, 730], [196, 935]]",1.0,"[0.5875     0.5625     0.55       0.55696203 0.55696203 0.45
 0.5375     0.525      0.56962025 0.55696203 0.5375     0.5625
 0.5375     0.5443038  0.55696203]","[[419, 712], [200, 931]]",0.67,0.57,0.81,1131.0,0.58,0.49,0.67,0.38,1131.0,0.62,0.60,0.67,0.57,0.82,1131.0,2262.0,2660.0,398.0,0.58,0.49,0.68,0.38,1131.0,0.62,0.60
299.0,299.0,299.0,1862.0,598.0,299.0,"[0.625      0.58333333 0.63333333 0.60504202 0.61344538 0.63333333
 0.65       0.59166667 0.59663866 0.58823529 0.625      0.625
 0.625      0.62184874 0.62184874]","[[480, 551], [208, 823]]",2.0,"[0.56666667 0.525      0.54166667 0.5210084  0.57142857 0.58333333
 0.60833333 0.58333333 0.57142857 0.55462185 0.6        0.58333333
 0.525      0.58823529 0.52941176]","[[455, 476], [158, 773]]",0.72,0.62,0.84,931.0,0.66,0.60,0.76,0.49,931.0,0.69,0.67,0.68,0.60,0.78,1031.0,2062.0,2660.0,598.0,0.62,0.57,0.68,0.49,1031.0,0.64,0.63
